ID,Player,Team Name,Conf,Wins,Draws,Losses,Bonus Points (Losing),Bonus Points (Try),Points Scored,Points Conceded
1,Sam,Gilbert's Goons,Conference A,1,0,2,0,1,461,449.5
2,Ben,Imperium of Man,Conference A,3,0,0,0,1,521,460
3,Rhu,Rhu's Team,Conference A,1,0,2,1,0,466.5,476.5
4,Cheese,Cheese's Team,Conference A,1,0,2,1,0,458,472
5,Steggles,Steggles' Team,Conference A,2,0,1,0,0,443,447
6,Jamie,Jamie's Team,Conference A,1,0,2,0,0,421,465.5
7,Dan,Five Meter Cum,Conference B,1,0,2,0,2,452,458.5
8,Alex,Rehabilitated Dogs,Conference B,2,0,1,0,2,496,474
9,Jack,Jack's Team,Conference B,1,0,2,0,0,447.5,505.5
10,Gary,Burger's Boks,Conference B,1,0,2,0,0,404,398
11,Oli,Aboutasshit Tigers,Conference B,2,0,1,0,2,464,457
12,Luke,Luke's Team,Conference B,2,0,1,0,1,435.5,406
