Team,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15
Sam,4,3,2,4,4,4,4,4,-29,0,0,0,0,0,0
Ben,5,3,3,6,7,5,8,7,-44,0,0,0,0,0,0
Rhu,2,3,1,4,8,2,5,3,-28,0,0,0,0,0,0
Cheese,3,3,3,1,2,2,3,4,-21,0,0,0,0,0,0
Steggles,3,3,0,3,1,1,3,5,-19,0,0,0,0,0,0
Jamie,3,1,0,2,5,1,4,3,-19,0,0,0,0,0,0
Dan,4,4,1,3,5,7,5,3,-32,0,0,0,0,0,0
Alex,7,4,1,3,6,3,5,5,-34,0,0,0,0,0,0
Jack,2,3,2,6,3,2,5,8,-31,0,0,0,0,0,0
Gary,2,3,1,6,4,4,3,2,-25,0,0,0,0,0,0
Oli,7,4,1,3,3,2,4,11,-35,0,0,0,0,0,0
Luke,7,1,1,3,0,1,3,5,-21,0,0,0,0,0,0
