Team,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15
Sam,4,7,9,13,17,21,25,29,0,0,0,0,0,0,0
Ben,5,8,11,17,24,29,37,44,0,0,0,0,0,0,0
Rhu,2,5,6,10,18,20,25,28,0,0,0,0,0,0,0
Cheese,3,6,9,10,12,14,17,21,0,0,0,0,0,0,0
Steggles,3,6,6,9,10,11,14,19,0,0,0,0,0,0,0
Jamie,3,4,4,6,11,12,16,19,0,0,0,0,0,0,0
Dan,4,8,9,12,17,24,29,32,0,0,0,0,0,0,0
Alex,7,11,12,15,21,24,29,34,0,0,0,0,0,0,0
Jack,2,5,7,13,16,18,23,31,0,0,0,0,0,0,0
Gary,2,5,6,12,16,20,23,25,0,0,0,0,0,0,0
Oli,7,11,12,15,18,20,24,35,0,0,0,0,0,0,0
Luke,7,8,9,12,12,13,16,21,0,0,0,0,0,0,0
